store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,average_sales_per_area,initial_cost,interior_cost,business_fee,contract_initial,contract_renewal
깐부치킨,2020-2023,서울,6.909090909090909,15.636363636363637,-24,256,38164743,26620698,11544045,27917053,3552578,2105476,225913,514402,17679,151100,76000,10800,2,1
진미대왕통닭,2020-2023,서울,37.93103448275862,55.172413793103445,-11,18,70737,24693,46044,209907,26059,23059,900,0,0,39300,13200,10700,2,1
계동치킨,2020-2023,서울,24.444444444444443,68.88888888888889,-20,34,7805982,5853752,1952230,4708436,321385,112317,24412,0,0,52150,30000,4950,3,1
전설의치킨,2020-2023,서울,43.63636363636363,0.0,-13,31,1607672,438005,1169667,3815161,146861,114310,14179,122236,11968,50950,24750,7500,3,2
씨에프숯불바베큐치킨,2020-2023,서울,7.6923076923076925,0.0,-3,12,1645915,55305,1590610,1321314,1027,25446,0,0,0,39050,14300,0,1,1
푸라닭,2020-2023,서울,31.006160164271044,6.160164271047227,114,336,55422443,34108908,21313535,140218251,8781339,7218581,8211052,515091,32724,75780,18800,7700,2,2
치킨더홈,2020-2023,서울,75.34246575342466,158.9041095890411,-112,18,78198972,24725229,53473743,35538007,-34231288,-35728073,5829025,0,0,32160,13000,10680,2,2
멕시카나,2020-2023,서울,54.70459518599562,44.201312910284464,-11,207,78198972,24725229,53473743,35538007,-34231288,-35728073,5829025,204091,18887,31850,13000,9050,2,2
처갓집양념치킨,2020-2023,서울,49.15032679738562,45.22875816993464,7,389,102279494,39884903,62394591,141160617,16896791,16378453,8079499,446332,38556,26850,13200,5400,3,1
야들리애,2020-2023,서울,72.97297297297297,51.35135135135135,8,10,5116474,2826332,2290142,3604385,85583,40086,34639,0,0,124220,52800,11800,2,1
맥켄치킨,2020-2023,서울,13.793103448275861,17.24137931034483,-6,25,10923000,6623944,4299056,19629413,52200,-85272,3850,35698,3347,30600,22000,5400,2,1
네네치킨,2020-2023,서울,11.036036036036036,43.69369369369369,-145,395,152933691,8935795,143997896,51607569,6275413,9282290,8801470,238044,21340,61110,19800,6300,3,1
모던통닭,2020-2023,서울,48.148148148148145,29.629629629629626,-3,14,14743335,3000550,11742785,9868084,1678959,1506151,94555,178186,6788,76680,33000,9800,2,1
