store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal
코코호도,2020-2023,서울,10.207007747911527,0.0,21,134,1237043,827046,409997,9232083,412997,332446,93151968,174508,111650,27500,18599,9350,4,4
뚜레쥬르,2020-2023,서울,11.780094186956019,1.550421470667023,41,664,467416825,327342914,140073911,701069093,21422125,17114174,4094205,589226,3294050,1012000,20277,27050,3,1
호두당,2020-2023,서울,63.547573184296915,13.217938630999214,51,12,351454,201922,149532,752588,27898,23574,39078,0,27640,5940,0,7400,2,2
빵장수단팥빵,2020-2023,서울,23.73236331569665,15.05731922398589,8,22,5564846,4704123,860723,7200719,-960822,-1167981,7252,260823,106500,33000,17063,35000,3,3
아리랑수제핫도그,2020-2023,서울,17.391304347826086,20.28985507246377,-13,19,831697,599185,232512,2230310,2354,103572,631,70037,49830,26000,4227,7500,1,1
쌀똑핫도그,2020-2023,서울,18.24074074074074,25.578703703703706,-11,28,296494,220117,76377,738248,-2811,2135,7268,152887,29700,11000,17516,5500,3,3
파파도나스,2020-2023,서울,21.823304383788255,44.486662531017366,-18,23,471633,129222,342411,1318487,31885,33323,31605,294501,59000,16000,17896,15200,2,1
압구정샌드위치,2020-2023,서울,16.89814814814815,0.0,13,15,41892,30375,11517,640304,35467,44214,1447,345959,80000,27500,42357,19500,2,1
송사부고로케,2020-2023,서울,17.18936678614098,21.77555121103508,-9,55,2140816,1419335,721481,3644509,114270,39958,53062,327959,85650,38000,48362,11800,3,2
호밀호두,2020-2023,서울,20.604354354354353,1.0416666666666667,9,26,1217924,785371,432553,4941783,26133,12218,22130,240400,77000,33000,23333,4400,3,3
스트릿츄러스,2020-2023,서울,17.345010515742224,28.363624948990804,-14,31,5253011,3503736,1749275,10510204,954344,721887,12408,185492,80962,29571,25485,16300,3,1
앤티앤스,2020-2023,서울,12.281731474688188,12.550745903643922,-1,126,27973999,8892308,19081691,46597504,2406442,2425214,288249,372301,127200,44000,46690,27600,1,1
크라상점,2020-2023,서울,52.26198151730066,80.64420803782505,-2,10,3595269,2018572,1576697,1891209,-547278,-637894,163,0,67700,22000,0,21500,2,1
와플샵,2020-2023,서울,19.690217391304348,3.7083333333333335,14,21,221352,228524,-7172,864295,71911,70539,41341,208777,88900,33000,18584,40500,2,1
못난이꽈배기,2020-2023,서울,25.26072124756335,37.30750487329435,-22,37,2981046,1137596,1843450,3579426,2086,-2342,127062,198376,40490,16500,29448,8700,2,1
하르당,2020-2023,서울,22.222222222222218,1.1111111111111112,38,40,1074007,209748,864259,5582260,600098,480165,38067,391521,73700,6600,36860,14300,2,1
명랑시대쌀핫도그,2020-2023,서울,9.010662734595208,24.310633645291045,-117,200,22956339,10478773,12477566,48371159,1058802,1188406,1242647,314255,39710,21000,38116,9800,2,2
보리원,2020-2023,서울,32.25357018460466,0.0,24,15,477053,259532,217521,1180987,37348,27672,4560,166600,62200,22000,36241,17100,2,1
한스(HANS),2020-2023,서울,4.787475327031765,0.0,6,52,7442069,4548179,2893890,12581495,304171,290625,108952,526779,327400,169410,12780,43000,3,1
망원동티라미수,2020-2023,서울,21.451355661881976,82.91688818004609,-34,18,1014694,2891964,-1877270,1825890,-308633,-405237,22618,0,84730,30800,0,11800,2,1
브레댄코(bread&co.DAILY-NEW),2020-2023,서울,16.589322769288813,9.711941143180532,18,80,8398858,11028405,-2629547,19242484,-404926,-123760,93064,427774,104600,33000,26318,18800,3,1
홍루이젠,2020-2023,서울,20.831725120170912,37.03005162898344,-121,111,8868171,5429080,3439091,20840133,-375216,-412468,519640,90215,77300,27500,10766,19300,1,1
복호두,2020-2023,서울,52.5946172871054,0.0,109,27,3226043,729302,2496741,6459794,2058433,1810037,11984,304717,113260,38000,27416,10700,2,2
신라명과,2020-2023,서울,5.5555555555555545,15.0,-3,10,53257342,36385182,16872160,74886561,4668704,3319369,269230,0,106800,38500,0,13300,3,1
79파운야드(79 FOUNYARD),2020-2023,서울,36.36527461828667,47.79233484052761,20,31,715462,104277,611185,1215239,-42900,-36543,35629,257414,94600,39600,11314,11000,2,1
삼송빵집,2020-2023,서울,21.91142191142191,1.5151515151515154,12,16,27121727,23852512,3269215,18965763,1190403,115933,79406,1340795,65380,11550,54064,42500,1,1
더베이크,2020-2023,서울,16.256684491978607,17.629233511586452,-2,27,1089930,1084391,5539,3098491,-377400,-431233,750,358049,86900,38500,32237,11000,2,1
츄러스1500,2020-2023,서울,60.070780039820285,61.8460143227945,54,13,0,0,0,266483,0,0,0,161852,34502,7500,20005,6300,2,1
심봉사도로케,2020-2023,서울,31.159420289855074,29.041248606466,-22,13,0,0,0,0,0,0,0,0,40100,15000,0,7600,2,1
