store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal,standard_store_area
코코호도,2020-2023,서울,9.70297818123905,5.2887933322715925,21,134,1237043,827046,409997,9232083,412997,332446,93151968,174508,111650,27500,18599,9350,0,0,26
뚜레쥬르,2020-2023,서울,10.71371578934604,9.059090302787782,41,664,467416825,327342914,140073911,701069093,21422125,17114174,4094205,589226,3294050,1012000,20277,27050,0,0,132
송사부고로케,2020-2023,서울,14.120684520981037,17.255200116578916,-9,55,2140816,1419335,721481,3644509,114270,39958,53062,327959,85650,38000,48362,11800,0,0,33
앤티앤스,2020-2023,서울,10.93324241003566,11.104007728480303,-1,126,27973999,8892308,19081691,46597504,2406442,2425214,288249,372301,127200,44000,46690,27600,0,0,33
못난이꽈배기,2020-2023,서울,17.841159913330497,27.658708462426336,-22,37,2981046,1137596,1843450,3579426,2086,-2342,127062,198376,40490,16500,29448,8700,0,0,26
명랑시대쌀핫도그,2020-2023,서울,7.141861833345376,21.13871518075558,-117,200,22956339,10478773,12477566,48371159,1058802,1188406,1242647,314255,39710,21000,38116,9800,0,0,23
한스(HANS),2020-2023,서울,4.725415070242657,1.1919965942954447,6,52,7442069,4548179,2893890,12581495,304171,290625,108952,526779,327400,169410,12780,43000,0,0,99
브레댄코(bread&co.DAILY-NEW),2020-2023,서울,15.036266623604257,9.404903283396637,18,80,8398858,11028405,-2629547,19242484,-404926,-123760,93064,427774,104600,33000,26318,18800,0,0,33
홍루이젠,2020-2023,서울,13.999235863209103,33.59891771579316,-121,111,8868171,5429080,3439091,20840133,-375216,-412468,519640,90215,77300,27500,10766,19300,0,0,33
던킨/던킨도너츠,2020-2023,서울,20.276028177045635,12.391559646929574,96,273,681062389,101530284,579532105,791669387,33858793,33215358,633125,420147,291504,92100,22791,50450,0,0,66
파리바게뜨,2020-2023,서울,3.622428792269312,3.018166280170321,39,2010,1701368163,980241188,721126975,1984740447,18799944,3179667,125407468,812674,334032,99000,30793,37050,0,0,99
핫브레드,2020-2023,서울,8.438561120543293,7.725841822297679,2,56,9708153,6805839,2902314,15323668,561087,579884,8895,440311,178200,21000,55038,63200,0,0,33
롤링핀,2020-2023,서울,15.2336860670194,18.893298059964724,-6,36,8247750,4340346,3907404,9634741,1219075,1038778,15330,912772,311950,118800,27936,32000,0,0,132
마리웨일237,2020-2023,서울,2.434126750906063,28.213621034661298,-61,54,17857062,16693882,1163180,16494183,191111,114084,84793,81788,92450,33000,9677,14900,0,0,50
