store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal,standard_store_area
할리스,2020-2023,서울,10.820623707876118,16.47220351533761,-60,259,202765182,68832284,133932898,143690502,8990260,7806837,498504,379344,261000,100000,7002,21000,0,0,165
카페게이트,2020-2023,서울,22.590732098445347,10.481915996888773,52,94,56511576,26556826,29954750,21161130,881281,662976,175977,191719,60032,12690,15546,13550,0,0,26
포트캔커피 PORT CAN COFFEE,2020-2023,서울,31.525552518094518,2.348724118915125,98,73,1246525,336991,909534,2744921,549999,504309,157507,293849,81010,22000,26849,16000,0,0,33
카페일리터,2020-2023,서울,34.6455857385399,11.126733163554045,44,33,104474,115084,-10610,213411,-110127,-110610,0,206303,43900,11000,22468,10900,0,0,33
THE LITER (더리터,2020-2023,서울,48.14838155944085,15.79945201697367,149,55,25919275,17481110,8438165,28640001,612497,288336,222203,117416,74460,20900,9946,8800,0,0,33
커피기업,2020-2023,서울,9.590187180941577,0.8130081300813008,11,37,284720,67851,216869,1201612,17196,14627,1640,329822,95390,36300,18930,15200,0,0,50
만랩커피,2020-2023,서울,10.01589973812196,14.818088290310513,-23,122,2198919,2177089,21830,9146944,285353,216550,202690,171648,88505,22000,9983,10900,0,0,33
토프레소,2020-2023,서울,4.058246814782454,22.57051386006776,-80,106,1037961,2550810,-1512849,4329901,-684848,-935137,29359,68919,67360,19800,5492,8600,0,0,26
커스텀커피,2020-2023,서울,30.885780885780886,2.8451178451178447,104,73,1931685,794234,1137451,9871832,54869,57135,6655,204327,121180,44000,16466,22000,0,0,33
더벤티,2020-2023,서울,37.865647138814374,5.616525220417828,625,363,47126237,22098693,25027544,91933308,13398330,10766278,1024285,271430,80833,17600,25894,13800,0,0,33
비엔나커피하우스,2020-2023,서울,0.6410256410256411,13.615384615384615,-20,44,3562604,3323085,239519,1130399,65080,36425,66547,319669,180610,70950,4893,18800,0,0,99
더카페,2020-2023,서울,5.4099405161461425,8.724318167317488,-17,142,178205863,142456643,35749220,355294952,17762273,26358410,81600,174431,74090,20500,11651,11600,0,0,33
셀렉토커피,2020-2023,서울,13.075526358342538,28.457955623613117,-80,103,8425541,5933243,2492298,9427411,355822,26329,134457,48969,83300,20900,3091,11800,0,0,33
감성커피,2020-2023,서울,35.95583385865975,18.037234852259385,112,97,3718756,1345477,2373279,9801014,740998,631014,396244,165504,42400,11500,14568,7500,0,0,26
컴포즈커피(COMPOSE COFFEE),2020-2023,서울,36.813336422550776,0.845367751384639,1635,940,52369302,19126870,33242432,88861597,36683505,11547094,888000,284191,95232,16000,72245,12700,0,0,33
